category_test,category_fixture,category_stage,FAI10,FAI12,FAI13,FAI14
C,V3,channel3,18.0454,,,
C,V3,channel1,18.0506,,,
C,V3,channel3,,29.4506,,
C,V3,channel1,,29.4579,,
C,V3,channel3,,29.4652,,
C,V3,channel1,,29.4725,,
C,V3,channel3,,29.4798,,
C,V3,channel1,,29.4871,,
C,V3,channel3,,29.4944,,
C,V3,channel1,,29.5017,,
C,V3,channel3,,29.509,,
C,V3,channel1,,29.5163,,
C,V3,channel3,,29.5236,,
C,V3,channel1,,29.5309,,
C,V3,channel3,,29.5382,,
C,V3,channel1,,29.5455,,
C,V3,channel3,,29.5528,,
C,V3,channel1,,29.5601,,
C,V3,channel3,,29.5674,,
C,V3,channel1,,29.5747,,
C,V3,channel3,,29.4506,,
C,V3,channel1,,29.4579,,
C,V3,channel3,,29.4652,,
C,V3,channel1,,29.4725,,
C,V3,channel3,,29.4798,,
C,V3,channel1,,29.4871,,
C,V3,channel3,,29.4944,,
C,V3,channel1,,29.5017,,
C,V3,channel3,,29.509,,
C,V3,channel1,,29.5163,,
C,V3,channel3,,29.5236,,
C,V3,channel1,,29.5309,,
C,V3,channel3,,29.5382,,
C,V3,channel1,,29.5455,,
C,V3,channel3,,29.5528,,
C,V3,channel1,,29.5601,,
C,V3,channel3,,29.5674,,
C,V3,channel1,,29.5747,,
C,V3,channel3,,29.4506,,
C,V3,channel1,,29.4579,,
C,V3,channel3,,29.4652,,
C,V3,channel1,,29.4725,,
C,V3,channel3,,29.4798,,
C,V3,channel1,,29.4871,,
C,V3,channel3,,29.4944,,
C,V3,channel1,,29.5017,,
C,V3,channel3,,29.509,,
C,V3,channel1,,29.5163,,
C,V3,channel3,,29.5236,,
C,V3,channel1,,29.5309,,
C,V3,channel3,,29.5382,,
C,V3,channel1,,29.5455,,
C,V3,channel3,,29.5528,,
C,V3,channel1,,29.5601,,
C,V3,channel3,,29.5674,,
C,V3,channel1,,29.5747,,
C,V3,channel3,,29.4506,,
C,V3,channel1,,29.4579,,
C,V3,channel3,,29.4652,,
C,V3,channel1,,29.4725,,
C,V3,channel3,,29.4798,,
C,V3,channel1,,29.4871,,
C,V3,channel3,,29.4944,,
C,V3,channel1,,29.5017,,
C,V3,channel3,,29.509,,
C,V3,channel1,,29.5163,,
C,V3,channel3,,29.5236,,
C,V3,channel1,,29.5309,,
C,V3,channel3,,29.5382,,
C,V3,channel1,,29.5455,,
C,V3,channel3,,29.5528,,
C,V3,channel1,,29.5601,,
C,V3,channel3,,29.5674,,
C,V3,channel1,,29.5747,,
C,V3,channel3,,29.582,,
C,V3,channel1,,29.5892999999999,,
C,V3,channel3,,29.5965999999999,,
C,V3,channel1,,29.6038999999999,,
C,V3,channel3,,29.6111999999999,,
C,V3,channel1,,29.6184999999999,,
C,V3,channel3,,29.6257999999999,,
C,V3,channel1,,29.6330999999999,,
C,V3,channel3,,29.6403999999999,,
C,V3,channel1,,29.6476999999999,,
C,V3,channel3,,29.6549999999999,,
C,V3,channel1,,29.6622999999999,,
C,V3,channel3,,29.6695999999999,,
C,V3,channel1,,29.6768999999999,,
C,V3,channel3,,29.6841999999999,,
C,V3,channel1,,29.6914999999999,,
C,V3,channel3,,29.6987999999999,,
C,V3,channel1,,29.7060999999999,,
C,V3,channel3,,29.7133999999999,,
C,V3,channel1,,29.7206999999999,,
C,V3,channel3,,29.7279999999999,,
C,V3,channel1,,29.7352999999999,,
C,V3,channel3,,29.7425999999999,,
C,V3,channel1,,29.7498999999999,,
C,V3,channel3,,29.7571999999999,,
C,V3,channel1,,29.7644999999999,,
C,V3,channel3,,29.7717999999999,,
C,V3,channel1,,29.7790999999999,,
C,V3,channel3,,29.7863999999999,,
C,V3,channel1,,29.7936999999999,,
C,V3,channel3,,29.8009999999999,,
C,V3,channel1,,29.8082999999999,,
C,V3,channel3,,29.8155999999999,,
